Policy,Episode,TotalTime,TasksCreated,TasksAccepted,TasksDropped,TasksCompleted,TotalReward,AvgQueueTime,LoadImbalance,ServerFrequencies
DQN,0,0.0615,300,59,15,44,-279.95,93.32,42.90,"[100.0, 0.0, 0.0]"
DQN,1,0.0594,300,56,15,41,-281.41,93.80,42.90,"[100.0, 0.0, 0.0]"
DQN,2,0.0494,300,57,16,41,-280.64,93.55,44.31,"[100.0, 0.0, 0.0]"
DQN,3,0.0524,300,55,16,39,-280.86,93.62,45.73,"[100.0, 0.0, 0.0]"
DQN,4,0.0623,300,56,15,41,-280.27,93.42,45.25,"[100.0, 0.0, 0.0]"
DQN,5,0.0513,300,58,16,42,-279.21,93.07,43.84,"[100.0, 0.0, 0.0]"
DQN,6,0.0476,300,55,15,40,-280.72,93.57,44.78,"[100.0, 0.0, 0.0]"
DQN,7,0.0435,300,57,15,42,-280.33,93.44,43.84,"[100.0, 0.0, 0.0]"
DQN,8,0.0484,300,56,15,41,-280.23,93.41,45.25,"[100.0, 0.0, 0.0]"
DQN,9,0.0465,300,58,17,41,-278.71,92.90,45.25,"[100.0, 0.0, 0.0]"
DQN,10,0.0440,300,56,15,41,-281.87,93.96,45.25,"[100.0, 0.0, 0.0]"
DQN,11,0.0522,300,58,16,42,-279.10,93.03,43.84,"[100.0, 0.0, 0.0]"
DQN,12,0.0488,300,57,16,41,-280.70,93.57,44.31,"[100.0, 0.0, 0.0]"
DQN,13,0.0482,300,58,15,43,-280.12,93.37,45.73,"[100.0, 0.0, 0.0]"
DQN,14,0.0474,300,56,16,40,-280.36,93.45,45.25,"[100.0, 0.0, 0.0]"
DQN,15,0.0489,300,57,17,40,-279.13,93.04,45.73,"[100.0, 0.0, 0.0]"
DQN,16,0.0519,300,59,16,43,-279.76,93.25,45.73,"[100.0, 0.0, 0.0]"
DQN,17,0.0453,300,57,16,41,-280.30,93.43,44.31,"[100.0, 0.0, 0.0]"
DQN,18,0.0498,300,55,16,39,-280.56,93.52,43.37,"[100.0, 0.0, 0.0]"
DQN,19,0.0521,300,54,15,39,-279.71,93.24,43.84,"[100.0, 0.0, 0.0]"
DQN,20,0.0532,300,55,14,41,-280.38,93.46,43.84,"[100.0, 0.0, 0.0]"
DQN,21,0.0510,300,59,17,42,-279.91,93.30,44.31,"[100.0, 0.0, 0.0]"
DQN,22,0.0997,300,56,15,41,-279.67,93.22,43.84,"[100.0, 0.0, 0.0]"
DQN,23,0.1026,300,58,15,43,-278.09,92.70,42.90,"[100.0, 0.0, 0.0]"
DQN,24,0.1995,300,56,15,41,-280.81,93.60,43.37,"[100.0, 0.0, 0.0]"
DQN,25,0.0473,300,55,14,41,-280.39,93.46,41.96,"[100.0, 0.0, 0.0]"
DQN,26,0.0491,300,57,15,42,-279.11,93.04,44.78,"[100.0, 0.0, 0.0]"
DQN,27,0.0506,300,58,15,43,-280.38,93.46,46.20,"[100.0, 0.0, 0.0]"
DQN,28,0.0506,300,57,15,42,-280.22,93.41,42.90,"[100.0, 0.0, 0.0]"
DQN,29,0.0442,300,57,14,43,-279.82,93.27,45.25,"[100.0, 0.0, 0.0]"
DQN,30,0.0458,300,56,16,40,-282.45,94.15,43.37,"[100.0, 0.0, 0.0]"
DQN,31,0.0511,300,58,16,42,-280.02,93.34,44.31,"[100.0, 0.0, 0.0]"
DQN,32,0.0534,300,57,15,42,-279.60,93.20,44.31,"[100.0, 0.0, 0.0]"
DQN,33,0.0490,300,59,16,43,-279.71,93.24,46.20,"[100.0, 0.0, 0.0]"
DQN,34,0.0495,300,52,13,39,-279.56,93.19,41.96,"[100.0, 0.0, 0.0]"
DQN,35,0.0464,300,58,15,43,-279.36,93.12,43.84,"[100.0, 0.0, 0.0]"
DQN,36,0.0471,300,54,15,39,-279.15,93.05,43.84,"[100.0, 0.0, 0.0]"
DQN,37,0.0512,300,57,18,39,-281.48,93.83,44.31,"[100.0, 0.0, 0.0]"
DQN,38,0.0521,300,57,16,41,-281.20,93.73,44.31,"[100.0, 0.0, 0.0]"
DQN,39,0.0528,300,58,15,43,-279.29,93.10,43.37,"[100.0, 0.0, 0.0]"
DQN,40,0.0450,300,55,15,40,-280.52,93.51,44.78,"[100.0, 0.0, 0.0]"
DQN,41,0.0466,300,57,16,41,-280.15,93.38,44.31,"[100.0, 0.0, 0.0]"
DQN,42,0.0445,300,52,12,40,-279.03,93.01,43.84,"[100.0, 0.0, 0.0]"
DQN,43,0.0543,300,56,15,41,-278.70,92.90,45.73,"[100.0, 0.0, 0.0]"
DQN,44,0.0518,300,56,15,41,-279.94,93.31,42.90,"[100.0, 0.0, 0.0]"
DQN,45,0.0490,300,59,16,43,-279.94,93.31,45.73,"[100.0, 0.0, 0.0]"
DQN,46,0.0514,300,53,15,38,-281.22,93.74,44.78,"[100.0, 0.0, 0.0]"
DQN,47,0.0491,300,55,15,40,-279.23,93.08,42.90,"[100.0, 0.0, 0.0]"
DQN,48,0.0501,300,61,16,45,-279.25,93.08,46.20,"[100.0, 0.0, 0.0]"
DQN,49,0.0462,300,55,16,39,-280.54,93.51,46.67,"[100.0, 0.0, 0.0]"
DQN,50,0.0574,300,58,17,41,-280.52,93.51,45.73,"[100.0, 0.0, 0.0]"
DQN,51,0.0735,300,58,17,41,-281.24,93.75,46.20,"[100.0, 0.0, 0.0]"
DQN,52,0.0524,300,56,15,41,-278.89,92.96,45.73,"[100.0, 0.0, 0.0]"
DQN,53,0.0539,300,58,16,42,-280.58,93.53,43.84,"[100.0, 0.0, 0.0]"
DQN,54,0.0545,300,58,14,44,-279.63,93.21,44.78,"[100.0, 0.0, 0.0]"
DQN,55,0.0510,300,59,15,44,-279.03,93.01,42.43,"[100.0, 0.0, 0.0]"
DQN,56,0.0499,300,56,15,41,-278.88,92.96,44.31,"[100.0, 0.0, 0.0]"
DQN,57,0.0493,300,59,16,43,-280.12,93.37,46.20,"[100.0, 0.0, 0.0]"
DQN,58,0.0566,300,57,16,41,-279.40,93.13,43.37,"[100.0, 0.0, 0.0]"
DQN,59,0.0635,300,56,16,40,-279.38,93.13,45.25,"[100.0, 0.0, 0.0]"
DQN,60,0.0533,300,54,13,41,-278.19,92.73,42.43,"[100.0, 0.0, 0.0]"
DQN,61,0.0556,300,56,15,41,-280.44,93.48,44.78,"[100.0, 0.0, 0.0]"
DQN,62,0.0633,300,57,14,43,-278.40,92.80,43.84,"[100.0, 0.0, 0.0]"
DQN,63,0.0538,300,57,14,43,-279.65,93.22,43.84,"[100.0, 0.0, 0.0]"
DQN,64,0.0640,300,59,17,42,-280.96,93.65,45.73,"[100.0, 0.0, 0.0]"
DQN,65,0.1059,300,56,16,40,-280.07,93.36,46.67,"[100.0, 0.0, 0.0]"
