Policy,Episode,TotalTime,TasksCreated,TasksAccepted,TasksDropped,TasksCompleted,TotalReward,AvgQueueTime,LoadImbalance,ServerFrequencies
DQN_Old,0,0.0654,300,56,15,41,-281.23,93.74,43.84,"[100.0, 0.0, 0.0]"
DQN_Old,1,0.0490,300,56,16,40,-280.40,93.47,45.73,"[100.0, 0.0, 0.0]"
DQN_Old,2,0.0470,300,56,15,41,-280.09,93.36,44.31,"[100.0, 0.0, 0.0]"
DQN_Old,3,0.0465,300,54,14,40,-279.29,93.10,42.90,"[100.0, 0.0, 0.0]"
DQN_Old,4,0.0478,300,58,16,42,-280.41,93.47,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,5,0.0495,300,55,16,39,-280.67,93.56,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,6,0.0428,300,58,15,43,-279.11,93.04,45.73,"[100.0, 0.0, 0.0]"
DQN_Old,7,0.0433,300,55,14,41,-280.17,93.39,44.78,"[100.0, 0.0, 0.0]"
DQN_Old,8,0.0478,300,55,15,40,-278.92,92.97,45.73,"[100.0, 0.0, 0.0]"
DQN_Old,9,0.0487,300,58,15,43,-280.83,93.61,44.78,"[100.0, 0.0, 0.0]"
DQN_Old,10,0.0441,300,57,15,42,-279.40,93.13,42.90,"[100.0, 0.0, 0.0]"
DQN_Old,11,0.0461,300,57,15,42,-278.91,92.97,43.84,"[100.0, 0.0, 0.0]"
DQN_Old,12,0.0484,300,56,14,42,-279.87,93.29,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,13,0.0457,300,56,14,42,-279.23,93.08,44.78,"[100.0, 0.0, 0.0]"
DQN_Old,14,0.0499,300,58,15,43,-280.90,93.63,44.78,"[100.0, 0.0, 0.0]"
DQN_Old,15,0.0448,300,59,16,43,-279.04,93.01,46.67,"[100.0, 0.0, 0.0]"
DQN_Old,16,0.0452,300,57,17,40,-281.25,93.75,44.31,"[100.0, 0.0, 0.0]"
DQN_Old,17,0.0461,300,58,17,41,-278.60,92.87,44.78,"[100.0, 0.0, 0.0]"
DQN_Old,18,0.0472,300,57,15,42,-280.49,93.50,44.78,"[100.0, 0.0, 0.0]"
DQN_Old,19,0.0767,300,55,15,40,-279.85,93.28,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,20,0.0455,300,56,16,40,-280.74,93.58,45.73,"[100.0, 0.0, 0.0]"
DQN_Old,21,0.0909,300,59,16,43,-280.05,93.35,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,22,0.1052,300,55,15,40,-280.10,93.37,46.20,"[100.0, 0.0, 0.0]"
DQN_Old,23,0.1634,300,54,13,41,-280.63,93.54,43.37,"[100.0, 0.0, 0.0]"
DQN_Old,24,0.1590,300,58,15,43,-280.54,93.51,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,25,0.0607,300,55,16,39,-280.41,93.47,44.31,"[100.0, 0.0, 0.0]"
DQN_Old,26,0.0489,300,57,15,42,-278.41,92.80,46.20,"[100.0, 0.0, 0.0]"
DQN_Old,27,0.0556,300,56,15,41,-278.32,92.77,44.31,"[100.0, 0.0, 0.0]"
DQN_Old,28,0.0526,300,60,16,44,-279.10,93.03,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,29,0.0455,300,56,15,41,-280.13,93.38,43.37,"[100.0, 0.0, 0.0]"
DQN_Old,30,0.0503,300,56,15,41,-280.80,93.60,43.84,"[100.0, 0.0, 0.0]"
DQN_Old,31,0.0495,300,57,16,41,-279.94,93.31,46.67,"[100.0, 0.0, 0.0]"
DQN_Old,32,0.0452,300,58,17,41,-278.52,92.84,45.73,"[100.0, 0.0, 0.0]"
DQN_Old,33,0.0471,300,58,16,42,-280.65,93.55,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,34,0.0544,300,56,15,41,-279.58,93.19,45.73,"[100.0, 0.0, 0.0]"
DQN_Old,35,0.0496,300,56,15,41,-279.42,93.14,45.73,"[100.0, 0.0, 0.0]"
DQN_Old,36,0.0520,300,58,15,43,-279.77,93.26,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,37,0.0462,300,56,14,42,-279.28,93.09,43.37,"[100.0, 0.0, 0.0]"
DQN_Old,38,0.0450,300,58,16,42,-279.87,93.29,44.78,"[100.0, 0.0, 0.0]"
DQN_Old,39,0.0478,300,58,16,42,-279.84,93.28,46.20,"[100.0, 0.0, 0.0]"
DQN_Old,40,0.0454,300,56,14,42,-279.71,93.24,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,41,0.0440,300,55,14,41,-280.25,93.42,43.37,"[100.0, 0.0, 0.0]"
DQN_Old,42,0.0562,300,54,14,40,-279.84,93.28,44.31,"[100.0, 0.0, 0.0]"
DQN_Old,43,0.0503,300,55,16,39,-280.11,93.37,45.73,"[100.0, 0.0, 0.0]"
DQN_Old,44,0.0496,300,59,17,42,-280.39,93.46,44.31,"[100.0, 0.0, 0.0]"
DQN_Old,45,0.0495,300,59,17,42,-280.12,93.37,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,46,0.0476,300,55,16,39,-279.68,93.23,45.73,"[100.0, 0.0, 0.0]"
DQN_Old,47,0.0425,300,57,16,41,-279.16,93.05,42.90,"[100.0, 0.0, 0.0]"
DQN_Old,48,0.0551,300,55,16,39,-279.45,93.15,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,49,0.0522,300,57,15,42,-280.29,93.43,44.78,"[100.0, 0.0, 0.0]"
DQN_Old,50,0.0437,300,59,16,43,-280.44,93.48,46.20,"[100.0, 0.0, 0.0]"
DQN_Old,51,0.0501,300,60,17,43,-280.26,93.42,46.67,"[100.0, 0.0, 0.0]"
DQN_Old,52,0.0700,300,57,14,43,-278.60,92.87,44.78,"[100.0, 0.0, 0.0]"
DQN_Old,53,0.0523,300,58,15,43,-277.25,92.42,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,54,0.0519,300,57,16,41,-281.11,93.70,46.67,"[100.0, 0.0, 0.0]"
DQN_Old,55,0.0570,300,60,16,44,-280.38,93.46,46.20,"[100.0, 0.0, 0.0]"
DQN_Old,56,0.0607,300,54,15,39,-279.61,93.20,42.90,"[100.0, 0.0, 0.0]"
DQN_Old,57,0.0508,300,59,17,42,-279.45,93.15,44.78,"[100.0, 0.0, 0.0]"
DQN_Old,58,0.0500,300,56,15,41,-280.84,93.61,43.84,"[100.0, 0.0, 0.0]"
DQN_Old,59,0.0463,300,54,16,38,-281.00,93.67,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,60,0.0447,300,54,15,39,-279.90,93.30,46.20,"[100.0, 0.0, 0.0]"
DQN_Old,61,0.0542,300,54,15,39,-278.75,92.92,44.78,"[100.0, 0.0, 0.0]"
DQN_Old,62,0.0664,300,55,13,42,-279.45,93.15,42.43,"[100.0, 0.0, 0.0]"
DQN_Old,63,0.0529,300,54,13,41,-279.25,93.08,44.31,"[100.0, 0.0, 0.0]"
DQN_Old,64,0.0498,300,57,15,42,-280.71,93.57,46.20,"[100.0, 0.0, 0.0]"
DQN_Old,65,0.0552,300,57,14,43,-280.31,93.44,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,66,0.0486,300,56,15,41,-279.64,93.21,44.78,"[100.0, 0.0, 0.0]"
DQN_Old,67,0.0501,300,59,16,43,-279.00,93.00,45.73,"[100.0, 0.0, 0.0]"
DQN_Old,68,0.0496,300,57,16,41,-278.83,92.94,43.84,"[100.0, 0.0, 0.0]"
DQN_Old,69,0.0432,300,57,15,42,-280.84,93.61,45.73,"[100.0, 0.0, 0.0]"
DQN_Old,70,0.0447,300,57,15,42,-280.20,93.40,45.73,"[100.0, 0.0, 0.0]"
DQN_Old,71,0.0448,300,53,15,38,-279.90,93.30,43.37,"[100.0, 0.0, 0.0]"
DQN_Old,72,0.0708,300,61,17,44,-279.95,93.32,45.25,"[100.0, 0.0, 0.0]"
DQN_Old,73,0.0504,300,58,16,42,-279.30,93.10,46.20,"[100.0, 0.0, 0.0]"
DQN_Old,74,0.0428,300,58,17,41,-281.35,93.78,45.73,"[100.0, 0.0, 0.0]"
DQN_Old,75,0.0466,300,58,15,43,-279.39,93.13,46.67,"[100.0, 0.0, 0.0]"
DQN_Old,76,0.0446,300,55,15,40,-280.29,93.43,43.84,"[100.0, 0.0, 0.0]"
